ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,month,month_name,day,hour
14005892,JJ461530,2025-10-18 01:45:00,0000X W ERIE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,False,False,1832,18,42.0,8.0,11,1175671.0,1904764.0,2025,10/26/2025 03:54:36 PM,41.894044459,-87.63026191,"(41.894044459, -87.63026191)",10,October,Saturday,1
14001353,JJ456015,2025-10-18 00:10:00,019XX E 73RD PL,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,333,3,7.0,43.0,08A,1190612.0,1856624.0,2025,11/02/2025 03:41:09 PM,41.761596782,-87.57694609,"(41.761596782, -87.57694609)",10,October,Saturday,0
14001102,JJ455648,2025-10-17 19:40:00,085XX W ARGYLE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1614,16,41.0,76.0,08A,1118784.0,1932118.0,2025,10/25/2025 03:43:27 PM,41.970196724,-87.838613738,"(41.970196724, -87.838613738)",10,October,Friday,19
14001603,JJ456050,2025-10-17 16:30:00,0000X E OHIO ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,False,False,1834,18,42.0,8.0,11,1176753.0,1904212.0,2025,10/25/2025 03:43:27 PM,41.892505345,-87.626304822,"(41.892505345, -87.626304822)",10,October,Friday,16
14000770,JJ455383,2025-10-17 16:15:00,017XX S MORGAN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,1235,12,25.0,31.0,08A,1170152.0,1891852.0,2025,11/02/2025 03:41:09 PM,41.858735307,-87.650908318,"(41.858735307, -87.650908318)",10,October,Friday,16
14000830,JJ455482,2025-10-17 15:34:00,0000X N CENTRAL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1522,15,29.0,25.0,08A,1139048.0,1899810.0,2025,10/25/2025 03:43:27 PM,41.88119479,-87.764888143,"(41.88119479, -87.764888143)",10,October,Friday,15
14000685,JJ455304,2025-10-17 15:17:00,039XX W 44TH ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,821,8,14.0,57.0,26,1150697.0,1875177.0,2025,11/02/2025 03:41:09 PM,41.813379056,-87.722756344,"(41.813379056, -87.722756344)",10,October,Friday,15
14001219,JJ455722,2025-10-17 14:00:00,052XX W MADISON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DRUG STORE,False,False,1522,15,37.0,25.0,11,1141512.0,1899523.0,2025,11/02/2025 03:41:09 PM,41.880362084,-87.755847438,"(41.880362084, -87.755847438)",10,October,Friday,14
14000711,JJ455158,2025-10-17 13:52:00,078XX S CHAPPEL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,414,4,8.0,43.0,08A,1191228.0,1853451.0,2025,11/02/2025 03:41:09 PM,41.752874919,-87.574790969,"(41.752874919, -87.574790969)",10,October,Friday,13
14004356,JJ459668,2025-10-17 13:45:00,093XX S CALUMET AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,633,6,6.0,49.0,08A,1180224.0,1843135.0,2025,11/02/2025 03:41:09 PM,41.724825754,-87.615431147,"(41.724825754, -87.615431147)",10,October,Friday,13
14000636,JJ455213,2025-10-17 13:30:00,100XX S MICHIGAN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,511,5,9.0,49.0,08A,1179020.0,1838267.0,2025,11/02/2025 03:41:09 PM,41.711494797,-87.619989117,"(41.711494797, -87.619989117)",10,October,Friday,13
14005308,JJ460749,2025-10-17 13:00:00,001XX W 104TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,512,5,9.0,49.0,08A,1177174.0,1835662.0,2025,10/25/2025 03:43:27 PM,41.704388082,-87.626827858,"(41.704388082, -87.626827858)",10,October,Friday,13
14002933,JJ457655,2025-10-17 10:30:00,131XX S INGLESIDE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,False,True,533,5,10.0,54.0,08A,1184829.0,1818400.0,2025,11/02/2025 03:41:09 PM,41.656843058,-87.59933522,"(41.656843058, -87.59933522)",10,October,Friday,10
14000503,JJ454845,2025-10-17 09:54:00,068XX S CORNELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,332,3,5.0,43.0,08A,1188381.0,1860014.0,2025,11/02/2025 03:41:09 PM,41.770952774,-87.585014697,"(41.770952774, -87.585014697)",10,October,Friday,9
14086217,JK119099,2025-10-17 09:00:00,029XX N KEDZIE AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,False,False,1411,14,35.0,21.0,11,1154535.0,1919377.0,2025,01/21/2026 03:42:01 PM,41.934592805,-87.70749609,"(41.934592805, -87.70749609)",10,October,Friday,9
14003725,JJ458902,2025-10-17 09:00:00,010XX W 35TH ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,COMMERCIAL / BUSINESS OFFICE,False,False,913,9,11.0,60.0,11,1170018.0,1881626.0,2025,11/02/2025 03:41:09 PM,41.830677183,-87.651698101,"(41.830677183, -87.651698101)",10,October,Friday,9
14001673,JJ456376,2025-10-17 08:30:00,008XX N KEDZIE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,False,False,1121,11,27.0,23.0,11,1154891.0,1905271.0,2025,11/02/2025 03:41:09 PM,41.895877613,-87.706566627,"(41.895877613, -87.706566627)",10,October,Friday,8
14000681,JJ455174,2025-10-17 08:20:00,022XX W POTOMAC AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,False,False,1424,14,1.0,24.0,11,1161039.0,1908603.0,2025,11/02/2025 03:41:09 PM,41.904895422,-87.683893673,"(41.904895422, -87.683893673)",10,October,Friday,8
14028527,JJ488895,2025-10-17 07:00:00,002XX W 106TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,512,5,21.0,49.0,08A,1176543.0,1834317.0,2025,11/16/2025 03:41:06 PM,41.700711392,-87.62917874,"(41.700711392, -87.62917874)",10,October,Friday,7
14003729,JJ458972,2025-10-17 03:00:00,041XX W HARRISON ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,False,False,1132,11,24.0,26.0,11,1148683.0,1897033.0,2025,10/25/2025 03:43:27 PM,41.873393811,-87.729580318,"(41.873393811, -87.729580318)",10,October,Friday,3
14000321,JJ454785,2025-10-17 02:00:00,040XX W 24TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,1013,10,22.0,30.0,08A,1149930.0,1887418.0,2025,11/02/2025 03:41:09 PM,41.846984932,-87.725251947,"(41.846984932, -87.725251947)",10,October,Friday,2
14000161,JJ454564,2025-10-17 01:49:00,052XX N KENMORE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,2023,20,48.0,77.0,26,1168305.0,1935024.0,2025,11/02/2025 03:41:09 PM,41.977241781,-87.6564372,"(41.977241781, -87.6564372)",10,October,Friday,1
14000147,JJ454524,2025-10-17 00:15:00,044XX W FULLERTON AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,2522,25,31.0,20.0,26,1146567.0,1915592.0,2025,11/02/2025 03:41:09 PM,41.92436229,-87.73687555,"(41.92436229, -87.73687555)",10,October,Friday,0
14001075,JJ455694,2025-10-17 00:00:00,007XX W GARFIELD BLVD,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,APARTMENT,False,False,711,7,16.0,68.0,11,1172144.0,1868263.0,2025,11/02/2025 03:41:09 PM,41.793961228,-87.644290868,"(41.793961228, -87.644290868)",10,October,Friday,0
14002794,JJ457852,2025-10-17 00:00:00,078XX S HOYNE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,611,6,18.0,71.0,08A,1163724.0,1852701.0,2025,11/02/2025 03:41:09 PM,41.751438029,-87.675602996,"(41.751438029, -87.675602996)",10,October,Friday,0
14004963,JJ460436,2025-10-16 19:46:00,007XX E 105TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,512,5,9.0,50.0,08A,1183102.0,1835160.0,2025,11/02/2025 03:41:09 PM,41.702875023,-87.605136182,"(41.702875023, -87.605136182)",10,October,Thursday,19
14000371,JJ454933,2025-10-16 19:05:00,063XX S WENTWORTH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,False,False,312,3,20.0,69.0,11,1176046.0,1863053.0,2025,10/24/2025 03:42:34 PM,41.779577735,-87.630138783,"(41.779577735, -87.630138783)",10,October,Thursday,19
13999773,JJ454123,2025-10-16 16:59:00,021XX S KEDZIE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,VEHICLE NON-COMMERCIAL,True,False,1022,10,24.0,30.0,26,1155359.0,1889441.0,2025,10/24/2025 03:42:34 PM,41.852429062,-87.705273181,"(41.852429062, -87.705273181)",10,October,Thursday,16
14000961,JJ455634,2025-10-16 16:15:00,008XX N RUSH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,False,False,1833,18,42.0,8.0,11,1176870.0,1905928.0,2025,11/02/2025 03:41:09 PM,41.897211487,-87.625823165,"(41.897211487, -87.625823165)",10,October,Thursday,16
